,free_node_coor_list,21:46:37,28132
1093,-17,-19,4
1094,-18,-20,5
1095,-17,-20,5
1096,-18,-19,5
1097,-17,-19,5
1098,-20,-18,4
1099,-19,-18,4
1100,-20,-17,4
1101,-19,-17,4
1102,-20,-18,5
1103,-19,-18,5
1104,-20,-17,5
1105,-19,-17,5
1106,-18,-18,4
1107,-17,-18,4
1108,-18,-17,4
1109,-17,-17,4
1110,-18,-18,5
1111,-17,-18,5
1112,-18,-17,5
1113,-17,-17,5
1114,-20,-20,6
1115,-19,-20,6
1116,-20,-19,6
1117,-19,-19,6
1118,-20,-20,7
1119,-19,-20,7
1120,-20,-19,7
1121,-19,-19,7
1122,-18,-20,6
1123,-17,-20,6
1124,-18,-19,6
1125,-17,-19,6
1126,-18,-20,7
1127,-17,-20,7
1128,-18,-19,7
1129,-17,-19,7
1130,-20,-18,6
1131,-19,-18,6
1132,-20,-17,6
1133,-19,-17,6
1134,-20,-18,7
1135,-19,-18,7
1136,-20,-17,7
1137,-19,-17,7
1138,-18,-18,6
1139,-17,-18,6
1140,-18,-17,6
1141,-17,-17,6
1142,-18,-18,7
1143,-17,-18,7
1144,-18,-17,7
1145,-17,-17,7
1146,-32,-25,8
1147,-31,-25,8
1148,-21,-31,9
1149,-21,-29,8
1150,-21,-30,9
1151,-21,-29,9
1152,-21,-31,10
1153,-21,-31,11
1154,-21,-30,10
1155,-21,-29,10
1156,-20,-31,8
1157,-19,-31,8
1158,-20,-31,9
1159,-19,-31,9
1160,-18,-31,8
1161,-17,-31,8
1162,-18,-31,9
1163,-17,-31,9
1164,-20,-30,8
1165,-19,-30,8
1166,-20,-29,8
1167,-19,-29,8
1168,-20,-30,9
1169,-19,-30,9
1170,-20,-29,9
1171,-19,-29,9
1172,-18,-30,8
1173,-17,-30,8
1174,-18,-29,8
1175,-17,-29,8
1176,-18,-30,9
1177,-17,-30,9
1178,-18,-29,9
1179,-17,-29,9
1180,-20,-31,10
1181,-19,-31,10
1182,-20,-31,11
1183,-19,-31,11
1184,-18,-31,10
1185,-17,-31,10
1186,-18,-31,11
1187,-17,-31,11
1188,-20,-30,10
1189,-19,-30,10
1190,-20,-29,10
1191,-19,-29,10
1192,-20,-30,11
1193,-19,-30,11
1194,-20,-29,11
1195,-19,-29,11
1196,-18,-30,10
1197,-17,-30,10
1198,-18,-29,10
1199,-17,-29,10
