,start_points,14:36:13,5212
1073,-1,74,28
1074,-1,74,28
1075,-1,74,28
1076,-2,73,29
1077,-2,73,29
1078,-2,73,29
1079,-2,73,29
1080,-5,74,30
1081,-5,74,30
1082,-5,74,30
1083,-5,74,30
1084,-7,74,30
1085,-7,74,30
1086,-7,74,30
1087,-7,74,30
1088,-9,73,29
1089,-9,73,29
1090,-9,73,29
1091,-9,73,29
1092,-12,74,28
1093,-12,74,28
1094,-12,74,28
1095,-12,74,28
1096,-11,74,29
1097,-11,74,29
1098,-11,74,29
1099,-11,74,29
1100,-15,75,30
1101,-15,75,30
1102,-15,75,30
1103,-15,75,30
1104,-18,77,30
1105,-18,77,30
1106,-18,77,30
1107,-18,77,30
1108,-21,77,30
1109,-21,77,30
1110,-21,77,30
1111,-21,77,30
1112,-24,78,30
1113,-24,78,30
1114,-24,78,30
1115,-24,78,30
1116,-29,78,28
1117,-29,78,28
1118,-29,78,28
1119,-29,78,28
1120,-30,79,28
1121,-30,79,28
1122,-30,79,28
1123,-30,79,28
1124,-32,78,28
1125,-32,78,28
1126,-32,78,28
1127,-32,78,28
1128,-33,77,29
1129,-33,77,29
1130,-33,77,29
1131,-33,77,29
1132,-34,77,29
1133,-34,77,29
1134,-34,77,29
1135,-34,77,29
1136,-32,78,31
1137,-32,78,31
1138,-32,78,31
1139,-32,78,31
1140,-32,78,32
1141,-32,78,32
1142,-32,78,32
1143,-32,78,32
1144,-35,78,30
1145,-35,78,30
1146,-35,78,30
1147,-35,78,30
1148,-37,76,28
1149,-37,76,28
1150,-37,76,28
1151,-37,76,28
1152,-40,74,26
1153,-40,74,26
1154,-40,74,26
1155,-40,74,26
1156,-42,72,26
1157,-42,72,26
1158,-42,72,26
1159,-42,72,26
1160,-45,71,27
1161,-45,71,27
1162,-45,71,27
1163,-45,71,27
1164,-45,73,29
1165,-45,73,29
1166,-45,73,29
1167,-45,73,29
1168,-46,74,29
1169,-46,74,29
1170,-46,74,29
1171,-46,74,29
1172,-49,74,31
1173,-49,74,31
1174,-49,74,31
1175,-49,74,31
1176,-51,73,32
1177,-51,73,32
1178,-51,73,32
1179,-51,73,32
1180,-52,72,32
1181,-52,72,32
1182,-52,72,32
1183,-52,72,32
1184,-53,73,31
1185,-53,73,31
1186,-53,73,31
1187,-53,73,31
1188,-53,74,30
1189,-53,74,30
1190,-53,74,30
1191,-53,74,30
1192,-54,74,29
1193,-54,74,29
1194,-54,74,29
1195,-54,74,29
1196,-55,75,29
1197,-55,75,29
1198,-55,75,29
1199,-55,75,29
1200,-56,75,29
1201,-56,75,29
1202,-56,75,29
1203,-56,75,29
1204,-57,75,29
1205,-57,75,29
1206,-57,75,29
1207,-57,75,29
1208,-58,77,27
1209,-58,77,27
1210,-58,77,27
1211,-58,77,27
1212,-59,78,24
1213,-59,78,24
1214,-59,78,24
1215,-59,78,24
1216,-61,80,27
1217,-61,80,27
1218,-61,80,27
1219,-61,80,27
1220,-64,73,32
1221,-64,73,32
1222,-64,73,32
1223,-64,73,32
1224,-65,72,35
1225,-65,72,35
1226,-65,72,35
1227,-65,72,35
1228,-67,70,34
1229,-67,70,34
1230,-67,70,34
1231,-67,70,34
1232,-70,69,31
1233,-70,69,31
1234,-70,69,31
1235,-70,69,31
1236,-69,71,31
1237,-69,71,31
1238,-69,71,31
1239,-69,71,31
1240,-71,72,30
1241,-71,72,30
1242,-71,72,30
1243,-71,72,30
1244,-70,74,31
1245,-70,74,31
1246,-70,74,31
1247,-70,74,31
1248,-70,74,32
1249,-70,74,32
1250,-70,74,32
1251,-70,74,32
1252,-70,74,31
1253,-70,74,31
1254,-70,74,31
1255,-70,74,31
1256,-72,73,28
1257,-72,73,28
1258,-72,73,28
1259,-72,73,28
1260,-73,72,26
1261,-73,72,26
1262,-73,72,26
1263,-73,72,26
1264,-72,74,29
1265,-72,74,29
1266,-72,74,29
1267,-72,74,29
1268,-72,74,31
1269,-72,74,31
1270,-72,74,31
1271,-72,74,31
1272,-75,75,30
1273,-75,75,30
1274,-75,75,30
1275,-75,75,30
1276,-77,76,29
1277,-77,76,29
1278,-77,76,29
1279,-77,76,29
1280,-76,76,29
1281,-76,76,29
1282,-76,76,29
1283,-76,76,29
1284,-77,77,29
1285,-77,77,29
1286,-77,77,29
1287,-77,77,29
1288,-76,76,28
1289,-76,76,28
1290,-76,76,28
1291,-76,76,28
1292,-75,76,28
1293,-75,76,28
1294,-75,76,28
1295,-75,76,28
1296,-76,75,28
1297,-76,75,28
1298,-76,75,28
1299,-76,75,28
