,end_points,13:18:49,3368
851,3.7,-128.0,32.0
852,128.0,-128.0,19.9
853,-128.0,-128.0,32.2
854,-1.3,128.0,16.3
855,6.0,-128.0,31.0
856,128.0,-128.0,21.7
857,-128.0,-128.0,32.7
858,5.6,128.0,25.6
859,6.1,-128.0,28.9
860,128.0,-128.0,24.6
861,-128.0,-128.0,32.3
862,14.2,84.5,32.5
863,4.8,-128.0,27.2
864,128.0,-128.0,34.4
865,-128.0,-128.0,28.4
866,27.3,128.0,43.2
867,3.5,-128.0,27.3
868,128.0,-128.0,27.4
869,-128.0,-128.0,35.6
870,25.9,128.0,46.9
871,5.8,-128.0,26.8
872,128.0,-128.0,30.6
873,-128.0,-128.0,31.3
874,22.2,128.0,35.6
875,10.7,-128.0,29.1
876,128.0,-128.0,35.7
877,-128.0,-128.0,25.5
878,19.7,29.3,30.3
879,13.6,-128.0,29.8
880,128.0,-128.0,43.1
881,-128.0,-128.0,21.3
882,17.5,-19.1,27.8
883,16.6,-128.0,33.7
884,128.0,-128.0,34.6
885,-128.0,-128.0,28.1
886,18.6,-48.2,27.4
887,19.4,-128.0,34.9
888,128.0,-128.0,38.4
889,-128.0,-128.0,28.5
890,18.5,-56.2,29.7
891,19.6,-128.0,36.8
892,128.0,-128.0,22.3
893,-128.0,-128.0,40.2
894,19.6,-24.7,30.6
895,20.3,-128.0,33.2
896,128.0,-128.0,21.9
897,-128.0,-128.0,38.7
898,21.8,-58.3,28.4
899,24.5,-128.0,34.1
900,128.0,-128.0,27.6
901,-128.0,-128.0,33.8
902,22.5,-28.5,27.5
903,29.2,-128.0,34.2
904,128.0,-128.0,31.4
905,-128.0,-128.0,28.8
906,25.0,-70.2,28.7
907,29.8,-128.0,31.8
908,128.0,-128.0,31.0
909,-128.0,-128.0,31.0
